Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
bba205b8-ec52-4a23-8397-798abf1238fa,PROMIN,Burgermix,248g,20.70   ,0.8,,Сухая смесь для изготовления котлет
ff15fda6-fe70-4a06-9095-94cc03261dd0,PROMIN,Burgermix,124g,10.50   ,0.8,,Сухая смесь для изготовления котлет
44fc5fc4-ba55-47c9-805e-7cac9b3a8a2b,PROMIN,Burgermix mit Lamm geschmack,248g,19.60   ,0.8,,Сухая смесь для котлет со вкусом баранины и мяты
3db64679-7b0a-492d-b72c-97adb7042f53,PROMIN,Sausagemix Original,120g,9.80   ,0.9,,Сухая смесь для изготовления сосисок
a79a7177-02e5-43c7-8c77-b3d20871fbf5,PROMIN,Sausagemix Tomaten-Basilikum,120g,9.80   ,0.9,,Сухая смесь для изготовления сосисок со вкусом томат-базилик
0310eefd-e897-42de-8d9d-ffe772afae5a,PROMIN,"Pasta in Tomaten, Paprika--Kreuter Sauce ",288g,10.20   ,0.7,,Макароны в томатно-паприковом соусе с травами
0be64de3-c597-49cf-a223-5eae4e524d96,PROMIN,Pasta in Brokoli-Käse Sauce ,264g,10.20   ,0.9,,Макароны в сырном соусе с брокколи
1c877596-ce49-4465-b3c7-e0d974e275ac,PROMIN,Käse Sauce ,225g,5.00   ,0.8,,Сырный соус
60f73023-3b46-451e-8059-7cacd0b819e8,PROMIN,Mac & Cheese Bites Pack,500g,6.70   ,,,Сырные шарики
f9cf37ee-2f0a-4cbf-b16e-0fcaead4ac18,PROMIN,"PROMIN, Heiße Frühstück Original",336g,12.00   ,0.1,,"Горячий завтрак, вкус Ваниль, 6 пакетиков* 56 гр, просто размешать с горячей водой  "
34f9ee9f-27a4-434a-941d-96dd0ecc0192,PROMIN,"PROMIN, Heiße Frühstück Schoko",336g,12.00   ,0.3,,"Горячий завтрак, вкус Шоколад, 6 пакетиков* 57 гр, просто размешать с горячей водой  "
7382513b-c055-4f31-aca1-e82bf65a46a3,PROMIN,"PROMIN, Heiße Frühstück Banana",336g,12.00   ,0.1,,"Горячий завтрак, вкус Банан 6 пакетиков* 57 гр, просто размешать с горячей водой  "
